               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.041392,            0.021702,            0.052368,             0.86237,             0.91914,              0.9213,             0.72758,            0.012183,           0.0051445,            0.011318,            0.070009,           0.0033324,           0.0033324
                   1,            0.029815,            0.016913,            0.026033,             0.98911,             0.96812,             0.99275,             0.86738,            0.008433,           0.0041812,           0.0039648,            0.039789,           0.0064457,           0.0064457
                   2,            0.026219,            0.016087,            0.022395,             0.98864,             0.97494,             0.99354,             0.88156,           0.0075691,           0.0038185,            0.003076,           0.0093488,           0.0093391,           0.0093391
                   3,            0.023242,            0.015129,            0.020493,             0.99194,             0.98206,             0.99419,             0.90785,           0.0065178,           0.0033856,           0.0024566,             0.00901,             0.00901,             0.00901
                   4,            0.021468,            0.014284,            0.018928,             0.99494,             0.98277,             0.99459,              0.9173,           0.0059716,           0.0031267,           0.0021357,             0.00901,             0.00901,             0.00901
                   5,            0.020217,            0.013699,            0.017885,              0.9965,             0.98578,             0.99474,             0.92679,           0.0056828,           0.0029627,            0.001824,             0.00868,             0.00868,             0.00868
                   6,            0.019462,            0.013295,            0.017105,             0.99716,             0.98656,              0.9948,             0.94525,           0.0050335,           0.0027368,           0.0017128,             0.00835,             0.00835,             0.00835
                   7,            0.018936,            0.012971,            0.016661,             0.99622,             0.98764,             0.99485,             0.94595,           0.0049302,           0.0026215,            0.001663,             0.00802,             0.00802,             0.00802
                   8,            0.018417,              0.0127,            0.016226,             0.99761,             0.98787,             0.99485,             0.95468,           0.0046042,           0.0024987,           0.0015562,             0.00769,             0.00769,             0.00769
                   9,            0.018096,            0.012504,             0.01603,             0.99765,             0.98898,             0.99491,             0.96111,           0.0044503,           0.0024924,           0.0014976,             0.00736,             0.00736,             0.00736
                  10,            0.017718,            0.012334,            0.015598,             0.99684,             0.98983,             0.99489,             0.96108,           0.0044009,           0.0024756,           0.0014486,             0.00703,             0.00703,             0.00703
                  11,            0.017371,            0.012115,            0.015177,             0.99762,             0.99014,             0.99489,             0.96296,            0.004351,           0.0024176,           0.0013979,              0.0067,              0.0067,              0.0067
                  12,            0.017093,               0.012,            0.015029,             0.99709,             0.99032,             0.99494,             0.96133,           0.0044051,           0.0024019,            0.001362,             0.00637,             0.00637,             0.00637
                  13,            0.016823,            0.011791,            0.014771,             0.99731,             0.99029,             0.99496,             0.96565,           0.0042415,           0.0023764,             0.00133,             0.00604,             0.00604,             0.00604
                  14,            0.016626,             0.01168,            0.014706,             0.99706,              0.9905,             0.99496,             0.96676,           0.0041639,           0.0023439,           0.0013042,             0.00571,             0.00571,             0.00571
                  15,            0.016372,            0.011536,            0.014422,             0.99728,             0.99054,             0.99495,             0.96938,            0.004043,            0.002293,           0.0012784,             0.00538,             0.00538,             0.00538
                  16,            0.016109,            0.011342,             0.01421,             0.99741,             0.99057,             0.99495,             0.97045,           0.0039829,           0.0022751,           0.0012561,             0.00505,             0.00505,             0.00505
                  17,            0.015914,            0.011251,             0.01412,             0.99728,             0.99056,             0.99495,             0.97121,           0.0039628,           0.0022592,           0.0012411,             0.00472,             0.00472,             0.00472
                  18,            0.015561,            0.011055,             0.01377,             0.99729,             0.99066,             0.99495,             0.97106,           0.0039456,           0.0022477,           0.0012249,             0.00439,             0.00439,             0.00439
                  19,            0.015369,            0.010921,            0.013631,             0.99741,             0.99098,             0.99496,             0.97122,           0.0039469,           0.0022403,           0.0012112,             0.00406,             0.00406,             0.00406
                  20,            0.015139,            0.010747,            0.013465,             0.99762,             0.99114,             0.99496,             0.97179,            0.003941,           0.0022311,           0.0011976,             0.00373,             0.00373,             0.00373
                  21,            0.014833,            0.010631,            0.013195,             0.99759,             0.99119,             0.99497,             0.97176,           0.0039474,           0.0022252,           0.0011818,              0.0034,              0.0034,              0.0034
                  22,            0.014614,            0.010474,            0.013079,             0.99766,             0.99122,             0.99498,             0.97247,           0.0039334,           0.0022134,            0.001168,             0.00307,             0.00307,             0.00307
                  23,            0.014371,            0.010287,            0.012776,             0.99754,             0.99162,             0.99498,             0.97278,           0.0039206,           0.0022034,           0.0011532,             0.00274,             0.00274,             0.00274
                  24,             0.01405,            0.010121,            0.012579,              0.9975,             0.99194,             0.99498,             0.97305,           0.0039137,           0.0021941,           0.0011366,             0.00241,             0.00241,             0.00241
                  25,            0.013805,            0.010028,            0.012464,             0.99763,             0.99207,             0.99498,             0.97401,           0.0038789,           0.0021774,           0.0011198,             0.00208,             0.00208,             0.00208
                  26,             0.01353,           0.0098401,            0.012212,             0.99775,             0.99226,             0.99498,             0.97462,           0.0038719,           0.0021662,            0.001105,             0.00175,             0.00175,             0.00175
                  27,             0.01325,           0.0096231,            0.011909,             0.99785,             0.99257,             0.99498,             0.97457,           0.0038675,           0.0021527,           0.0010902,             0.00142,             0.00142,             0.00142
                  28,            0.012975,           0.0094717,             0.01182,             0.99786,             0.99272,             0.99499,             0.97514,           0.0038465,            0.002138,            0.001077,             0.00109,             0.00109,             0.00109
                  29,            0.012657,           0.0092836,            0.011492,             0.99822,             0.99259,             0.99499,             0.97554,           0.0038345,            0.002125,           0.0010647,             0.00076,             0.00076,             0.00076
